City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Dikson,73.51,80.55,4.78,90,96,5.03,RU,1594770127
Ishim,56.11,69.49,16.94,84,0,2.03,RU,1594770127
Port Alfred,-33.59,26.89,10.87,75,45,5.79,ZA,1594770127
Darhan,49.49,105.92,21.68,67,76,2.92,MN,1594770127
Bethel,41.37,-73.41,22.78,78,75,2.6,US,1594770127
Ciudad del Carmen,18.63,-91.83,32.0,70,40,3.6,MX,1594770127
Macenta,8.54,-9.47,19.34,97,98,1.61,GN,1594770128
Araguaína,-7.19,-48.21,25.12,53,31,0.97,BR,1594770128
Aswān,24.09,32.91,29.27,14,3,4.36,EG,1594770128
Ayan,56.45,138.17,19.35,63,78,3.61,RU,1594770128
Kattivākkam,13.22,80.32,28.0,88,75,4.8,IN,1594770128
Ucluelet,48.93,-125.55,19.0,68,20,6.2,CA,1594769839
Mwinilunga,-11.74,24.43,9.96,47,18,1.53,ZM,1594770128
Hermanus,-34.42,19.23,3.33,94,3,2.75,ZA,1594770128
New Norfolk,-42.78,147.06,7.78,90,100,0.48,AU,1594770128
Hilo,19.73,-155.09,27.0,69,90,3.6,US,1594770129
Saint-Philippe,-21.36,55.77,20.0,72,20,2.6,RE,1594770129
Chokurdakh,70.63,147.92,4.09,71,100,5.91,RU,1594770129
Butaritari,3.07,172.79,24.72,82,100,2.72,KI,1594770129
La Maddalena,41.21,9.41,19.0,63,21,0.5,IT,1594770129
Bredasdorp,-34.53,20.04,7.0,87,0,1.5,ZA,1594770129
Bluff,-46.6,168.33,8.45,81,42,5.09,NZ,1594770041
Bengkulu,-3.8,102.27,24.58,74,95,1.98,ID,1594770129
Meulaboh,4.14,96.13,25.28,87,62,1.49,ID,1594770129
Cape Town,-33.93,18.42,8.0,81,3,2.6,ZA,1594770129
Longyearbyen,78.22,15.64,7.0,81,75,2.1,SJ,1594770129
Kalmar,56.66,16.36,16.0,82,100,4.1,SE,1594770130
Padang,-0.95,100.35,25.45,71,54,1.89,ID,1594770130
Hobart,-42.88,147.33,8.0,87,75,2.6,AU,1594769879
Atuona,-9.8,-139.03,26.62,78,1,9.91,PF,1594770130
Atar,20.52,-13.05,33.45,19,0,4.34,MR,1594770130
Katsuura,35.13,140.3,22.22,94,75,3.1,JP,1594770130
Mladá Vožice,49.53,14.81,12.78,82,87,2.68,CZ,1594770130
Aksu,41.12,80.26,21.91,49,94,1.17,CN,1594770130
Poum,-20.23,164.02,23.2,74,81,0.73,NC,1594770130
Chui,-33.7,-53.46,4.12,74,0,3.37,UY,1594770131
Bubaque,11.28,-15.83,26.58,87,87,4.96,GW,1594770131
Villa Carlos Paz,-31.42,-64.5,11.67,56,0,4.1,AR,1594770131
Qaanaaq,77.48,-69.36,4.38,86,100,3.58,GL,1594770131
Jussara,-23.62,-52.47,16.56,65,6,2.36,BR,1594770131
Codrington,-38.27,141.97,8.6,87,47,5.15,AU,1594770131
Maniitsoq,65.42,-52.9,6.88,82,0,5.66,GL,1594770131
Kruisfontein,-34.0,24.73,7.19,80,75,4.25,ZA,1594770131
Zaysan,47.47,84.87,18.85,53,91,3.33,KZ,1594770131
Jamestown,42.1,-79.24,22.78,60,1,4.1,US,1594770131
Vila Velha,-20.33,-40.29,23.0,88,20,4.1,BR,1594770128
Olinda,-8.01,-34.86,26.0,74,20,5.1,BR,1594770132
Dhidhdhoo,6.88,73.1,28.32,76,100,5.41,MV,1594770132
Kudahuvadhoo,2.67,72.89,28.83,71,87,3.32,MV,1594770132
Wajir,1.75,40.06,23.29,71,70,5.31,KE,1594770132
Berlevåg,70.86,29.09,7.28,80,58,2.01,NO,1594770132
Ambilobe,-13.2,49.05,18.73,88,39,1.28,MG,1594770132
Novobureyskiy,49.8,129.88,24.75,81,39,1.71,RU,1594770132
Adrar,20.5,-10.07,35.04,19,3,2.89,MR,1594770133
Avarua,-21.21,-159.78,23.0,53,69,5.1,CK,1594770133
Sabang,5.89,95.32,27.99,76,100,1.56,ID,1594770133
Saint Anthony,45.02,-93.22,23.33,53,90,4.1,US,1594770133
Mahébourg,-20.41,57.7,22.0,83,75,5.7,MU,1594770133
Otavi,-19.65,17.33,8.53,49,0,7.51,NA,1594770133
Tuatapere,-46.13,167.68,8.52,75,27,2.17,NZ,1594770133
Show Low,34.25,-110.03,32.0,14,1,6.7,US,1594770133
Alofi,-19.06,-169.92,25.0,61,40,7.2,NU,1594770133
Barguzin,53.62,109.62,23.56,59,0,2.38,RU,1594770134
Payo,-3.75,103.64,21.52,93,96,0.77,ID,1594770134
Bambous Virieux,-20.34,57.76,22.0,83,75,5.7,MU,1594770134
Pangody,65.85,74.49,11.88,67,100,2.87,RU,1594770134
Krivosheino,57.34,83.93,11.64,80,55,2.53,RU,1594770134
Beringovskiy,63.05,179.32,10.27,91,91,2.95,RU,1594770134
Shingū,33.73,135.98,23.0,78,75,2.6,JP,1594770134
Pisco,-13.7,-76.22,17.0,82,4,5.7,PE,1594770017
Tiksi,71.69,128.87,6.87,72,0,3.4,RU,1594770134
Atherton,53.52,-2.49,13.33,94,100,0.89,GB,1594770134
Upernavik,72.79,-56.15,5.68,81,46,4.55,GL,1594770135
Balkanabat,39.51,54.37,29.17,37,49,2.57,TM,1594770135
Henties Bay,-22.12,14.28,16.96,40,0,1.83,NA,1594770135
East London,-33.02,27.91,11.76,69,22,7.4,ZA,1594770135
Ixtapa,20.7,-105.2,31.11,74,75,5.1,MX,1594770135
Ciudad Bolivar,8.12,-63.55,26.68,81,73,3.71,VE,1594770135
Ponta do Sol,32.67,-17.1,25.0,56,20,10.3,PT,1594770135
Pervomayskoye,43.92,46.71,23.41,59,77,3.59,RU,1594770135
Castro,-24.79,-50.01,11.02,66,0,1.1,BR,1594770135
Salalah,17.02,54.09,27.0,94,90,1.5,OM,1594770136
Ribeira Grande,38.52,-28.7,21.06,78,0,3.2,PT,1594770136
Zlatoust,55.17,59.65,17.22,94,87,1.58,RU,1594770136
San Patricio,19.22,-104.7,33.0,70,75,10.3,MX,1594770136
Manono,-7.3,27.42,20.14,48,3,1.43,CD,1594770136
Puerto Ayora,-0.74,-90.35,20.0,94,82,0.45,EC,1594770136
Sidi Ali,36.1,0.42,21.96,78,2,3.1,DZ,1594770136
Wanxian,30.8,108.39,25.88,86,94,2.27,CN,1594770136
Thompson,55.74,-97.86,17.0,82,90,2.6,CA,1594770136
Esmeraldas,-19.76,-44.31,22.0,53,25,1.0,BR,1594770136
Northam,51.03,-4.22,14.44,91,100,4.47,GB,1594770137
Orlik,52.52,99.83,13.95,83,98,1.92,RU,1594770137
Saldanha,-33.01,17.94,6.0,81,0,1.0,ZA,1594770137
Deputatsky,69.3,139.9,13.73,60,60,3.19,RU,1594770137
Tangzhai,34.43,116.59,25.56,86,5,0.07,CN,1594770137
Smidovich,48.6,133.82,23.17,83,3,1.98,RU,1594770137
San Estanislao,10.4,-75.15,29.0,70,75,5.1,CO,1594770137
Klaksvík,62.23,-6.59,10.0,93,95,3.1,FO,1594770137
Zeya,53.75,127.27,30.45,39,33,1.37,RU,1594770137
Shimoda,34.67,138.95,23.0,94,75,3.6,JP,1594770137
Esperance,-33.87,121.9,6.0,93,0,3.6,AU,1594770137
Kapaa,22.08,-159.32,29.44,74,40,5.7,US,1594769948
Shirokiy,49.76,129.52,24.9,79,37,1.69,RU,1594770138
Seoul,37.57,126.98,21.0,68,90,0.91,KR,1594770062
Bela Vista,-22.11,-56.52,18.85,87,46,1.94,BR,1594770138
Kaitangata,-46.28,169.85,6.67,90,79,0.89,NZ,1594770138
Hong Kong,22.29,114.16,30.56,79,42,4.92,HK,1594770138
Cutlerville,42.84,-85.66,28.33,51,75,3.1,US,1594770138
Kavieng,-2.57,150.8,29.23,64,100,3.34,PG,1594770138
Telde,27.99,-15.42,24.0,60,4,11.8,ES,1594770138
Sitka,57.05,-135.33,13.0,87,90,6.2,US,1594770138
Margate,51.38,1.39,17.22,84,100,0.45,GB,1594770138
Khatanga,71.97,102.5,16.62,70,70,5.23,RU,1594770138
Kununurra,-15.77,128.73,18.0,26,0,2.6,AU,1594770139
Lompoc,34.64,-120.46,20.56,60,3,6.2,US,1594770139
Nova Olímpia,-14.8,-57.29,25.01,49,26,0.69,BR,1594770139
Fort Nelson,58.81,-122.7,24.0,31,75,1.5,CA,1594770139
Hosdurga,13.8,76.29,21.4,88,100,7.12,IN,1594770139
Buala,-8.14,159.59,29.23,69,82,2.3,SB,1594770139
Evensk,61.95,159.23,13.55,77,99,2.96,RU,1594770139
Whitehorse,60.72,-135.05,12.0,87,90,3.6,CA,1594770007
Broken Hill,-31.95,141.43,5.0,93,3,0.77,AU,1594770139
Luleå,65.58,22.15,10.0,93,50,2.22,SE,1594770139
Sokoni,-6.43,39.55,24.72,83,68,6.45,TZ,1594770140
Tadine,-21.55,167.88,23.48,83,87,3.47,NC,1594770140
Arraial do Cabo,-22.97,-42.03,20.66,84,78,8.05,BR,1594770140
Gawler,-34.6,138.73,10.56,74,66,2.24,AU,1594770140
Kahului,20.89,-156.47,32.0,43,40,6.7,US,1594769882
High Rock,26.62,-78.28,31.0,74,75,3.1,BS,1594770140
Iqaluit,63.75,-68.51,16.0,59,20,1.0,CA,1594770140
San Jose,37.34,-121.89,30.0,42,1,5.7,US,1594770131
La Ronge,55.1,-105.28,19.0,59,75,8.2,CA,1594770140
Vestmannaeyjar,63.44,-20.27,11.71,89,100,3.48,IS,1594770140
Sicamous,50.83,-118.99,18.0,63,75,1.0,CA,1594770141
Yangi Marg`ilon,40.43,71.72,24.0,47,59,2.1,UZ,1594770141
Miles City,46.41,-105.84,27.0,15,40,2.1,US,1594770141
Airai,-8.93,125.41,17.31,77,1,2.24,TL,1594770141
Canutama,-6.53,-64.38,27.22,61,47,1.1,BR,1594770141
Tura,25.52,90.22,22.65,98,100,2.14,IN,1594770141
Nikolskoye,59.7,30.79,13.33,87,73,2.0,RU,1594770141
Suzhou,31.31,120.62,20.0,95,100,4.45,CN,1594770002
Avera,33.19,-82.53,34.0,41,1,2.1,US,1594770141
Arrondissement de Bourges,47.25,2.42,19.0,72,100,1.5,FR,1594770141
Yakeshi,49.28,120.73,23.76,63,93,0.98,CN,1594770141
Vallenar,-28.57,-70.76,17.94,45,0,1.64,CL,1594770141
Scarborough,54.28,-0.4,12.22,83,99,1.93,GB,1594770130
Okato,-39.2,173.88,10.0,91,100,5.36,NZ,1594770142
Yulara,-25.24,130.99,5.0,56,0,2.6,AU,1594770142
Cap Malheureux,-19.98,57.61,21.67,86,0,1.34,MU,1594770142
Ilulissat,69.22,-51.1,6.0,87,30,2.6,GL,1594770142
Wamba,8.93,8.6,21.61,96,100,0.96,NG,1594770142
Bagdarin,54.43,113.6,20.48,78,0,0.54,RU,1594770142
Winston-Salem,36.1,-80.24,32.22,38,1,2.6,US,1594769877
Jumla,29.27,82.18,17.23,72,89,0.42,NP,1594770142
Acaraú,-2.89,-40.12,25.13,75,34,5.75,BR,1594769874
Broome,42.25,-75.83,23.89,60,1,4.1,US,1594770143
Katobu,-4.94,122.53,25.77,76,24,3.18,ID,1594770143
Caravelas,-17.71,-39.25,22.04,90,2,2.41,BR,1594770143
Gaza,31.5,34.47,25.0,83,0,0.5,PS,1594770143
Mar del Plata,-38.0,-57.56,6.67,75,38,2.1,AR,1594770143
Przhevalskoye,55.51,31.85,12.25,85,100,4.47,RU,1594770143
Bozova,37.36,38.53,27.0,28,20,3.1,TR,1594770143
Forsytheganj,52.63,29.73,13.0,82,97,4.47,BY,1594770143
Nanortalik,60.14,-45.24,5.15,94,100,1.17,GL,1594770143
Barranca,-10.75,-77.77,15.65,91,30,3.85,PE,1594770143
Alanya,36.54,32.0,24.0,94,0,2.1,TR,1594769929
Kichmengskiy Gorodok,59.98,45.79,16.23,96,32,2.37,RU,1594770143
Maningrida,-12.07,134.27,22.81,70,11,6.19,AU,1594770144
Jalalabad,34.43,70.45,30.0,45,75,3.1,AF,1594770144
Ostrovnoy,68.05,39.51,7.81,87,38,4.54,RU,1594770144
Zephyrhills,28.23,-82.18,33.33,66,1,1.5,US,1594770144
Neryungri,56.67,124.65,24.35,61,30,1.01,RU,1594770144
Lagoa,39.05,-27.98,20.76,81,0,2.55,PT,1594769949
Bilibino,68.05,166.44,17.3,54,60,1.33,RU,1594770144
Saskylakh,71.92,114.08,20.85,54,38,2.07,RU,1594770144
Mossamedes,-15.2,12.15,16.73,78,0,0.67,AO,1594770145
Wau,7.7,28.0,21.16,95,14,1.76,SS,1594770145
Narsaq,60.92,-46.05,11.0,66,100,2.1,GL,1594770145
Juneau,58.3,-134.42,13.0,87,90,6.7,US,1594769873
Kütahya,39.42,29.98,14.0,87,2,4.1,TR,1594770145
Quang Ngai,15.12,108.8,27.22,76,90,1.45,VN,1594770145
Soyo,-6.13,12.37,21.5,83,50,2.21,AO,1594770145
Grindavik,63.84,-22.43,11.0,93,75,1.5,IS,1594770145
Darnah,32.77,22.64,24.09,73,0,7.28,LY,1594769942
Hamburg,53.55,10.0,14.44,93,75,1.0,DE,1594769951
Taoudenni,22.68,-3.98,38.54,8,0,4.42,ML,1594770146
Urrao,6.32,-76.13,26.0,41,20,4.1,CO,1594770146
Djibo,14.1,-1.63,30.21,55,81,3.18,BF,1594770146
Springdale,36.19,-94.13,32.0,62,1,6.2,US,1594770084
Orange,33.7,-117.77,27.78,57,20,3.6,US,1594770144
Luena,-11.78,19.92,10.88,43,0,2.42,AO,1594770146
Calvià,39.57,2.51,21.67,73,100,2.1,ES,1594770146
Coquimbo,-29.95,-71.34,11.0,93,90,1.5,CL,1594770146
Souillac,-20.52,57.52,22.0,83,75,5.7,MU,1594770146
Kawalu,-7.38,108.21,22.62,89,98,0.4,ID,1594770146
Lázaro Cárdenas,17.96,-102.2,29.62,71,16,4.28,MX,1594770146
Cidreira,-30.18,-50.21,7.85,67,0,4.22,BR,1594770147
Sioux Lookout,50.1,-91.92,23.0,43,40,3.6,CA,1594770147
Springbok,-29.66,17.89,3.32,76,0,6.38,ZA,1594770147
Vardø,70.37,31.11,7.14,82,53,1.99,NO,1594770055
Daokou,35.56,114.51,26.11,69,5,3.99,CN,1594770147
Kroonstad,-27.65,27.23,-0.93,86,0,3.19,ZA,1594770147
Tual,-5.67,132.75,26.25,84,32,10.22,ID,1594770147
Lebu,-37.62,-73.65,10.4,76,2,2.31,CL,1594770147
Tigil',57.8,158.67,18.86,65,100,5.55,RU,1594770147
Severo-Kuril'sk,50.68,156.12,13.13,79,79,4.47,RU,1594770147
Prince Rupert,54.32,-130.32,13.0,93,90,5.1,CA,1594770148
Kilrush,52.64,-9.48,13.0,93,90,6.2,IE,1594770148
Danané,7.26,-8.15,20.25,97,94,1.49,CI,1594770148
Mocuba,-16.84,36.99,14.3,95,33,1.44,MZ,1594770148
Laguna,38.42,-121.42,34.44,27,1,5.1,US,1594770148
Durazno,-33.41,-56.5,2.55,79,5,1.92,UY,1594770051
Barrow,71.29,-156.79,3.0,86,90,4.1,US,1594770148
Jardim,-21.48,-56.14,19.5,88,12,2.43,BR,1594770148
Portland,45.52,-122.68,30.0,28,20,6.7,US,1594769272
Zyryanka,65.75,150.85,13.62,52,78,8.68,RU,1594770148
Del Rio,29.36,-100.9,43.0,15,1,7.7,US,1594769877
Nuuk,64.18,-51.72,6.0,87,2,4.1,GL,1594770092
Cabo San Lucas,22.89,-109.91,35.0,55,5,9.8,MX,1594770149
Huarmey,-10.07,-78.15,17.01,85,41,4.35,PE,1594770149
Faya,18.39,42.45,23.0,35,49,2.63,SA,1594770149
Coyhaique,-45.58,-72.07,0.0,91,75,1.5,CL,1594770149
Port Hawkesbury,45.62,-61.35,17.22,88,90,1.5,CA,1594770104
Hasaki,35.73,140.83,21.11,94,75,3.1,JP,1594770149
Galle,6.04,80.22,26.95,85,96,4.48,LK,1594770059
Fortuna,40.6,-124.16,19.44,72,20,7.7,US,1594770097
Torbay,47.67,-52.73,11.11,93,90,4.6,CA,1594770109
Burgeo,47.62,-57.62,14.53,87,100,7.77,CA,1594770149
Necochea,-38.55,-58.74,5.0,81,52,2.24,AR,1594770150
Yamazakichō-nakabirose,35.0,134.55,23.33,84,100,2.68,JP,1594770150
Saint-Joseph,-21.37,55.62,20.0,72,20,2.6,RE,1594770150
Sakaiminato,35.55,133.23,21.0,94,75,2.6,JP,1594770150
Erzin,36.96,36.2,26.11,86,0,0.64,TR,1594770150
Geraldton,-28.77,114.6,13.0,82,90,5.7,AU,1594770150
Doha,25.29,51.53,36.0,44,0,4.1,QA,1594770015
Tomatlán,19.93,-105.25,30.75,67,5,4.27,MX,1594770150
Sinnamary,5.38,-52.95,25.67,83,76,3.65,GF,1594770150
Dharmābād,18.9,77.85,24.04,95,100,2.3,IN,1594770151
Luangwa,-15.62,30.42,13.57,54,0,0.52,ZM,1594770151
Miyang,24.4,103.44,19.33,84,92,1.32,CN,1594770036
Nouakchott,18.09,-15.98,25.0,78,1,7.7,MR,1594770151
Laranjal Paulista,-23.05,-47.84,19.44,71,5,2.68,BR,1594770151
São Filipe,14.9,-24.5,25.3,85,62,2.11,CV,1594770151
Havøysund,71.0,24.66,7.0,87,4,3.1,NO,1594770151
Kargil,34.57,76.1,11.34,56,2,2.51,IN,1594770151
Hoi An,15.88,108.33,26.0,88,20,1.5,VN,1594770151
Saint-Augustin,51.23,-58.65,10.93,83,1,4.03,CA,1594770152
Hearst,49.68,-83.67,21.07,53,97,2.86,CA,1594770152
Bumba,2.18,22.47,21.99,94,100,0.53,CD,1594770152
Marystown,47.17,-55.15,15.43,88,86,7.76,CA,1594770152
Mount Isa,-20.73,139.5,14.0,35,5,4.6,AU,1594770128
Ubinskoye,55.31,79.68,12.97,84,5,4.25,RU,1594770152
Mehamn,71.04,27.85,7.24,81,73,0.93,NO,1594770152
Kloulklubed,7.04,134.26,28.0,78,75,2.6,PW,1594770152
Coari,-4.08,-63.14,25.27,75,27,0.77,BR,1594770152
Yarim,14.3,44.38,17.2,53,52,0.82,YE,1594770153
Zafra,38.42,-6.42,27.22,41,7,1.79,ES,1594770153
Qaqortoq,60.72,-46.03,11.0,66,100,2.1,GL,1594770153
San Antonio,29.42,-98.49,40.0,24,1,4.1,US,1594770028
Florida,28.75,-82.5,31.67,70,40,3.1,US,1594770153
Bandarbeyla,9.49,50.81,27.27,63,77,11.26,SO,1594770153
Kibala,9.11,18.35,21.72,95,100,1.29,TD,1594770153
Hofn,64.25,-15.21,10.76,88,100,3.08,IS,1594770153
Marawi,8.0,124.29,26.11,83,37,0.89,PH,1594770153
Dryden,49.78,-92.75,23.0,43,40,6.2,CA,1594770153
Paragominas,-2.97,-47.48,24.82,72,18,2.06,BR,1594770154
Riyadh,24.69,46.72,34.0,18,6,2.6,SA,1594770154
Isangel,-19.55,169.27,25.0,83,75,2.1,VU,1594770154
San Cristobal,7.77,-72.22,31.0,52,40,5.1,VE,1594770154
General Roca,-39.03,-67.58,9.0,45,53,1.04,AR,1594770154
Juba,4.85,31.58,20.67,90,77,1.77,SS,1594770154
Chimay,50.05,4.32,15.0,93,100,1.0,BE,1594770154
Rolla,37.95,-91.77,31.11,66,1,2.6,US,1594769998
Pringsewu,-5.36,104.97,22.82,90,87,0.53,ID,1594770154
Pundaguitan,6.37,126.17,28.28,72,11,2.59,PH,1594770154
Panabá,21.28,-88.27,27.34,80,0,5.94,MX,1594770154
Şile,41.18,29.61,21.67,57,1,2.24,TR,1594770154
Champerico,14.3,-91.92,30.0,74,40,4.1,GT,1594770155
Bud,39.45,-86.18,28.0,42,1,2.95,US,1594770155
Dunning,56.31,-3.59,13.89,92,71,0.89,GB,1594770155
Noumea,-22.28,166.46,23.89,73,95,1.0,NC,1594770050
Sechura,-5.56,-80.82,19.29,79,11,7.18,PE,1594770155
Warmbad,-28.45,18.73,5.74,63,0,4.97,NA,1594770155
Cockburn Town,21.46,-71.14,29.0,74,40,4.6,TC,1594770155
Naze,28.37,129.48,30.0,79,75,4.1,JP,1594770155
Barra de Tecoanapa,16.52,-98.75,29.73,72,48,4.12,MX,1594770155
Anadyr,64.75,177.48,11.0,93,90,4.0,RU,1594770155
Mogadishu,2.04,45.34,25.17,85,99,7.29,SO,1594770155
Kiryat Gat,31.61,34.76,25.0,33,0,0.89,IL,1594770156
Rocha,-34.48,-54.33,2.18,82,0,2.53,UY,1594770156
Nola,40.92,14.53,22.0,64,2,1.0,IT,1594770156
Santa Vitória do Palmar,-33.52,-53.37,4.73,71,0,3.64,BR,1594769892
Barão de Melgaço,-16.19,-55.97,29.0,42,20,1.5,BR,1594770156
Raja,8.46,25.68,21.69,89,70,2.11,SS,1594770156
Tosya,41.02,34.04,14.77,87,61,1.61,TR,1594770156
Dubbo,-32.25,148.62,8.0,93,0,2.6,AU,1594769865
Agirish,61.92,63.02,18.58,92,69,2.53,RU,1594770156
Lipari,38.47,14.95,24.44,75,0,0.45,IT,1594770156
Tooele,40.53,-112.3,30.0,23,1,5.1,US,1594769889
Makakilo City,21.35,-158.09,31.0,52,20,3.1,US,1594770156
Barreiras,-12.15,-44.99,22.09,48,77,1.16,BR,1594770157
Kapoeta,4.77,33.59,23.16,78,91,1.55,SS,1594770157
Saint George,37.1,-113.58,40.0,9,1,5.7,US,1594770157
Östersund,63.18,14.64,13.0,66,78,4.1,SE,1594770157
Quryq,43.2,51.65,26.06,68,61,4.95,KZ,1594770157
Fuyu,45.18,124.82,28.41,49,19,0.89,CN,1594770157
Port Moresby,-9.44,147.18,26.0,88,40,2.6,PG,1594769867
Beaverlodge,55.22,-119.44,22.0,37,75,9.3,CA,1594770157
Plettenberg Bay,-34.05,23.37,8.64,69,11,3.28,ZA,1594770157
Abhā,18.22,42.51,23.0,35,56,4.03,SA,1594770158
George Town,5.41,100.34,27.0,94,20,0.5,MY,1594770158
Vestmanna,62.16,-7.17,10.0,93,98,3.1,FO,1594770158
Swan Hill,-35.34,143.55,8.81,74,0,1.73,AU,1594770158
Nioro,13.35,-15.75,25.88,81,43,3.55,GM,1594770158
Kānt,27.8,79.8,29.41,71,27,4.25,IN,1594770158
Clyde River,70.47,-68.59,14.0,71,75,5.1,CA,1594770158
Bahía Honda,22.9,-83.16,27.99,80,87,3.2,CU,1594770158
Nānpāra,27.87,81.5,26.67,94,2,2.53,IN,1594770158
Adamantas,36.73,24.43,23.0,60,0,7.2,GR,1594770158
Krynychky,48.38,34.47,14.0,82,95,6.0,UA,1594770158
Presidencia Roque Sáenz Peña,-26.79,-60.44,9.52,68,0,2.63,AR,1594770159
Brewster,41.4,-73.62,24.44,78,75,2.6,US,1594770159
Kathu,7.92,98.33,28.89,94,40,1.0,TH,1594770159
Chifeng,42.27,118.96,26.18,47,2,2.12,CN,1594770159
Bathsheba,13.22,-59.52,28.0,74,20,4.6,BB,1594770159
Mandalgovi,45.76,106.27,23.25,42,39,8.13,MN,1594770159
Upata,8.01,-62.4,22.5,95,80,1.82,VE,1594770159
Varhaug,58.61,5.65,11.67,99,55,2.99,NO,1594770159
Rome,43.21,-75.46,21.0,83,75,2.6,US,1594770159
Guerrero Negro,27.98,-114.06,24.24,62,0,8.97,MX,1594770159
Sabha,27.04,14.43,27.62,26,0,5.39,LY,1594770160
Esim,4.87,-2.24,23.56,84,1,4.44,GH,1594770160
Muli,2.92,73.57,28.85,72,94,3.37,MV,1594770160
Garhi Khairo,28.06,67.98,35.8,42,0,4.87,PK,1594770160
North Bend,43.41,-124.22,25.56,77,1,12.9,US,1594770019
Kilsyth,55.98,-4.06,12.78,88,82,0.45,GB,1594770160
Anshun,26.25,105.93,20.55,94,100,3.41,CN,1594770160
Anzio,41.49,12.62,20.56,94,5,1.0,IT,1594770160
Solnechnyy,50.72,136.63,24.06,60,4,2.27,RU,1594770160
Sørkjosen,69.8,20.93,12.9,63,25,4.65,NO,1594770160
Neiafu,-18.65,-173.98,26.0,61,40,5.1,TO,1594770161
Tūkrah,32.53,20.58,23.66,74,0,5.65,LY,1594770161
Shitkino,56.37,98.35,16.84,91,95,4.01,RU,1594770161
Karratha,-20.74,116.85,20.88,44,66,4.21,AU,1594770161
Carballo,43.21,-8.69,17.22,95,86,3.58,ES,1594770161
Nome,64.5,-165.41,12.0,76,90,3.6,US,1594770161
Sochi,43.6,39.73,19.0,88,20,2.0,RU,1594770161
Kīhei,20.79,-156.47,32.0,43,40,6.7,US,1594770161
Bac Lieu,9.29,105.72,26.91,85,100,3.46,VN,1594770161
Valparaíso,-33.04,-71.63,12.0,87,0,2.6,CL,1594769971
Mayumba,-3.43,10.66,20.67,91,82,1.22,GA,1594770162
Tierra Colorada,17.17,-99.58,31.0,70,75,3.6,MX,1594770162
Boa Vista,2.82,-60.67,28.0,65,20,2.1,BR,1594769972
Surgut,61.25,73.42,16.0,72,94,3.0,RU,1594770162
Penzance,50.12,-5.54,14.44,87,90,4.6,GB,1594769886
Zhaotong,27.32,103.72,18.38,85,100,1.3,CN,1594770162
Lumphat,13.49,106.98,25.54,89,67,0.17,KH,1594770162
Dingle,11.0,122.67,28.24,78,82,1.69,PH,1594770162
Gambēla,8.25,34.58,21.07,91,100,1.74,ET,1594770162
Alakurtti,66.97,30.35,8.89,94,95,1.34,RU,1594770163
Baghmara,23.8,86.21,26.24,90,100,2.47,IN,1594770163
Naryan-Mar,67.67,53.09,9.77,97,100,2.68,RU,1594770163
Puerto Ayacucho,5.66,-67.62,25.0,94,75,2.6,VE,1594770163
Batagay,67.63,134.63,17.71,62,83,1.51,RU,1594770163
Baryatino,54.31,34.52,12.97,96,100,8.73,RU,1594770163
Pacific Grove,36.62,-121.92,20.0,60,20,7.2,US,1594769906
Bandar-e Lengeh,26.56,54.88,30.45,83,0,4.96,IR,1594770163
